,Close,capital_used,closed_position,ending_cash,ending_value,holdtime,long,lower,orders,period_close,period_open,pnl,portfolio_value,positions,returns,shares,short,starting_cash,starting_value,transactions,upper,algorithm_returns
2014-01-02 21:00:00,1.37443,0.0,False,100000.0,0.0,1,False,1.37415596629,[],2014-01-02 21:00:00+00:00,2014-01-02 14:31:00+00:00,0.0,100000.0,[],0.0,1000,False,100000.0,0.0,[],1.37525546228,1.0
2014-01-03 21:00:00,1.36642,-1429.9,False,98570.1,1366.42,1404,True,1.36591755611,"[{'status': 1, 'created': Timestamp('2014-01-02 00:29:00+0000', tz='UTC'), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 5.0, 'amount': 1000, 'limit': None, 'sid': 'Close', 'dt': Timestamp('2014-01-02 00:30:00+0000', tz='UTC'), 'id': '6094bcad7403438c960e140426fcbe94', 'filled': 1000}]",2014-01-03 21:00:00+00:00,2014-01-03 14:31:00+00:00,-63.48,99936.52,"[{'amount': 1000, 'last_sale_price': 1.36642, 'cost_basis': 1.4299, 'sid': 'Close'}]",-0.0006348,1000,False,100000.0,0.0,"[{'commission': 5.0, 'amount': 1000, 'sid': 'Close', 'order_id': '6094bcad7403438c960e140426fcbe94', 'price': 1.4299, 'dt': Timestamp('2014-01-02 00:30:00+0000', tz='UTC')}]",1.36641482484,0.9993652
2014-01-06 21:00:00,1.35818,0.0,False,98570.1,1358.18,2841,True,1.35792569778,[],2014-01-06 21:00:00+00:00,2014-01-06 14:31:00+00:00,-8.24000000001,99928.28,"[{'amount': 1000, 'last_sale_price': 1.35818, 'cost_basis': 1.4299, 'sid': 'Close'}]",-8.2452340746e-05,1000,False,98570.1,1366.42,[],1.35825811175,0.9992828
2014-01-07 21:00:00,1.36238,0.0,False,98570.1,1362.38,4277,True,1.36235079475,[],2014-01-07 21:00:00+00:00,2014-01-07 14:31:00+00:00,4.20000000001,99932.48,"[{'amount': 1000, 'last_sale_price': 1.36238, 'cost_basis': 1.4299, 'sid': 'Close'}]",4.20301440194e-05,1000,False,98570.1,1358.18,[],1.36273015763,0.9993248
2014-01-08 21:00:00,1.36316,0.0,False,98570.1,1363.16,5712,True,1.36207320854,[],2014-01-08 21:00:00+00:00,2014-01-08 14:31:00+00:00,0.779999999999,99933.26,"[{'amount': 1000, 'last_sale_price': 1.36316, 'cost_basis': 1.4299, 'sid': 'Close'}]",7.80527011837e-06,1000,False,98570.1,1362.38,[],1.36348012479,0.9993326
2014-01-09 21:00:00,1.35777,0.0,False,98570.1,1357.77,7134,True,1.35750356939,[],2014-01-09 21:00:00+00:00,2014-01-09 14:31:00+00:00,-5.39,99927.87,"[{'amount': 1000, 'last_sale_price': 1.3577700000000001, 'cost_basis': 1.4299, 'sid': 'Close'}]",-5.39359968843e-05,1000,False,98570.1,1363.16,[],1.35787547823,0.9992787
2014-01-10 21:00:00,1.36122,0.0,False,98570.1,1361.22,8564,True,1.36084461795,[],2014-01-10 21:00:00+00:00,2014-01-10 14:31:00+00:00,3.45,99931.32,"[{'amount': 1000, 'last_sale_price': 1.36122, 'cost_basis': 1.4299, 'sid': 'Close'}]",3.45249028124e-05,1000,False,98570.1,1357.77,[],1.36148681062,0.9993132
