Date,High,Open,Low,Close
2014-01-01 17:00:00+00:00,1.37615,1.37615,1.37586,1.37586
2014-01-01 17:01:00+00:00,1.37592,1.37592,1.37569,1.37569
2014-01-01 17:02:00+00:00,1.37559,1.37571,1.37536,1.37536
2014-01-01 17:03:00+00:00,1.37543,1.37554,1.37543,1.37554
2014-01-01 17:04:00+00:00,1.3755,1.3755,1.3755,1.3755
2014-01-01 17:05:00+00:00,1.37583,1.37611,1.37583,1.37598
2014-01-01 17:06:00+00:00,1.37588,1.37588,1.37568,1.37568
2014-01-01 17:09:00+00:00,1.37562,1.37599,1.37562,1.37599
2014-01-01 17:10:00+00:00,1.3753,1.37599,1.3753,1.37599
2014-01-01 17:11:00+00:00,1.37586,1.37586,1.37586,1.37586
2014-01-01 17:12:00+00:00,1.37603,1.37603,1.376,1.376
2014-01-01 17:13:00+00:00,1.37524,1.37534,1.37523,1.37531
2014-01-01 17:14:00+00:00,1.3753,1.3753,1.37402,1.37413
2014-01-01 17:15:00+00:00,1.3756,1.37564,1.3756,1.37564
2014-01-01 17:16:00+00:00,1.37568,1.37568,1.37561,1.37561
2014-01-01 17:17:00+00:00,1.37527,1.37527,1.37514,1.37514
2014-01-01 17:18:00+00:00,1.375,1.37503,1.375,1.37503
2014-01-01 17:19:00+00:00,1.37513,1.37539,1.37513,1.37539
2014-01-01 17:20:00+00:00,1.37542,1.37561,1.37538,1.37561
2014-01-01 17:21:00+00:00,1.37563,1.37563,1.37562,1.37562
2014-01-01 17:23:00+00:00,1.37561,1.37562,1.37561,1.37562
2014-01-01 17:24:00+00:00,1.37557,1.37621,1.37557,1.3761
2014-01-01 17:25:00+00:00,1.37626,1.37626,1.37604,1.37604
2014-01-01 17:26:00+00:00,1.37599,1.37612,1.37575,1.37575
2014-01-01 17:27:00+00:00,1.37568,1.37586,1.37568,1.37586
2014-01-01 17:28:00+00:00,1.37516,1.37516,1.37483,1.37502
2014-01-01 17:30:00+00:00,1.37492,1.37495,1.37492,1.37495
2014-01-01 17:31:00+00:00,1.37502,1.37513,1.37501,1.37501
2014-01-01 17:33:00+00:00,1.37498,1.37509,1.37493,1.37509
2014-01-01 17:34:00+00:00,1.37521,1.37556,1.37521,1.37544
2014-01-01 17:35:00+00:00,1.37554,1.37554,1.37518,1.37531
2014-01-01 17:36:00+00:00,1.37532,1.37536,1.37526,1.37526
2014-01-01 17:37:00+00:00,1.37523,1.37555,1.37518,1.37555
2014-01-01 17:38:00+00:00,1.3755,1.37562,1.37524,1.37537
2014-01-01 17:39:00+00:00,1.37532,1.37541,1.37532,1.37532
2014-01-01 17:40:00+00:00,1.37514,1.37545,1.37511,1.37533
2014-01-01 17:41:00+00:00,1.37511,1.37547,1.37511,1.37533
2014-01-01 17:42:00+00:00,1.3754,1.37552,1.37523,1.3754
2014-01-01 17:43:00+00:00,1.37541,1.37541,1.37525,1.37528
2014-01-01 17:44:00+00:00,1.37532,1.37534,1.37528,1.37528
2014-01-01 17:45:00+00:00,1.37522,1.37535,1.37522,1.37535
2014-01-01 17:46:00+00:00,1.37529,1.37541,1.37529,1.3754
2014-01-01 17:47:00+00:00,1.37536,1.37563,1.37533,1.37535
2014-01-01 17:48:00+00:00,1.37561,1.37564,1.37536,1.37549
2014-01-01 17:49:00+00:00,1.37548,1.37556,1.37536,1.37538
2014-01-01 17:50:00+00:00,1.37537,1.3757,1.37525,1.37556
2014-01-01 17:51:00+00:00,1.37547,1.3757,1.3754,1.3757
2014-01-01 17:52:00+00:00,1.37584,1.37598,1.37553,1.37553
2014-01-01 17:53:00+00:00,1.37555,1.37573,1.37555,1.37563
2014-01-01 17:54:00+00:00,1.37566,1.37566,1.37551,1.37556
2014-01-01 17:55:00+00:00,1.37543,1.37543,1.37543,1.37543
2014-01-01 17:56:00+00:00,1.37546,1.3763,1.37546,1.37614
2014-01-01 17:57:00+00:00,1.37618,1.37618,1.37573,1.37579
2014-01-01 17:58:00+00:00,1.37593,1.37646,1.37588,1.37646
2014-01-01 17:59:00+00:00,1.37635,1.37655,1.37594,1.37599
2014-01-01 18:00:00+00:00,1.3761,1.3767,1.3761,1.37654
2014-01-01 18:01:00+00:00,1.37652,1.37652,1.37622,1.37646
2014-01-01 18:02:00+00:00,1.3762,1.37644,1.37598,1.37617
2014-01-01 18:03:00+00:00,1.37619,1.37619,1.37609,1.37609
2014-01-01 18:04:00+00:00,1.37611,1.37624,1.37611,1.37624
2014-01-01 18:06:00+00:00,1.37628,1.37657,1.37628,1.37646
2014-01-01 18:07:00+00:00,1.37642,1.37677,1.37642,1.3767
2014-01-01 18:08:00+00:00,1.37667,1.37683,1.37661,1.37683
2014-01-01 18:09:00+00:00,1.37691,1.37693,1.37684,1.37685
2014-01-01 18:10:00+00:00,1.37686,1.37686,1.37646,1.37662
2014-01-01 18:11:00+00:00,1.3767,1.3767,1.37668,1.37668
2014-01-01 18:12:00+00:00,1.37669,1.3767,1.37668,1.3767
2014-01-01 18:13:00+00:00,1.37668,1.37668,1.37668,1.37668
2014-01-01 18:14:00+00:00,1.37671,1.37676,1.37671,1.37673
2014-01-01 18:15:00+00:00,1.37693,1.37703,1.37693,1.37703
2014-01-01 18:16:00+00:00,1.3771,1.3771,1.37688,1.37688
2014-01-01 18:17:00+00:00,1.37685,1.37708,1.37678,1.37702
2014-01-01 18:18:00+00:00,1.37704,1.37726,1.37704,1.37721
2014-01-01 18:19:00+00:00,1.37724,1.37734,1.37704,1.37705
2014-01-01 18:20:00+00:00,1.37701,1.37701,1.37701,1.37701
2014-01-01 18:21:00+00:00,1.37695,1.37711,1.3768,1.3768
2014-01-01 18:22:00+00:00,1.37684,1.37712,1.37684,1.37712
2014-01-01 18:23:00+00:00,1.37693,1.37705,1.37675,1.3768
2014-01-01 18:24:00+00:00,1.37654,1.37654,1.3765,1.3765
2014-01-01 18:25:00+00:00,1.37649,1.37649,1.37645,1.37645
2014-01-01 18:26:00+00:00,1.37654,1.37654,1.37643,1.37644
2014-01-01 18:27:00+00:00,1.37649,1.37649,1.37644,1.37645
2014-01-01 18:28:00+00:00,1.37644,1.37674,1.37643,1.37644
2014-01-01 18:29:00+00:00,1.37644,1.37646,1.37644,1.37644
2014-01-01 18:30:00+00:00,1.37643,1.37656,1.37641,1.37656
2014-01-01 18:31:00+00:00,1.37658,1.37658,1.37652,1.37652
2014-01-01 18:32:00+00:00,1.37658,1.37659,1.37637,1.37649
2014-01-01 18:33:00+00:00,1.37648,1.37648,1.37635,1.37643
2014-01-01 18:34:00+00:00,1.37657,1.37662,1.37657,1.37661
2014-01-01 18:35:00+00:00,1.37665,1.37717,1.37665,1.37699
2014-01-01 18:36:00+00:00,1.37694,1.37696,1.37656,1.37668
2014-01-01 18:37:00+00:00,1.37667,1.37707,1.37667,1.37707
2014-01-01 18:38:00+00:00,1.37708,1.37708,1.37645,1.37679
2014-01-01 18:39:00+00:00,1.3768,1.3768,1.3768,1.3768
2014-01-01 18:40:00+00:00,1.37689,1.37694,1.37667,1.37671
2014-01-01 18:41:00+00:00,1.37666,1.37666,1.37648,1.37648
2014-01-01 18:42:00+00:00,1.3765,1.37673,1.3765,1.37658
2014-01-01 18:43:00+00:00,1.37664,1.37664,1.37648,1.3766
2014-01-01 18:44:00+00:00,1.37661,1.37667,1.37635,1.3766
2014-01-01 18:45:00+00:00,1.37653,1.37661,1.37639,1.3765
2014-01-01 18:46:00+00:00,1.37652,1.37664,1.37646,1.37648
2014-01-01 18:47:00+00:00,1.37649,1.37654,1.37643,1.37647
2014-01-01 18:48:00+00:00,1.37637,1.3765,1.37637,1.37646
2014-01-01 18:49:00+00:00,1.37632,1.37645,1.37632,1.37636
2014-01-01 18:50:00+00:00,1.37634,1.3764,1.37632,1.37638
2014-01-01 18:51:00+00:00,1.37633,1.37641,1.37632,1.37634
2014-01-01 18:52:00+00:00,1.37639,1.37642,1.37632,1.37633
2014-01-01 18:53:00+00:00,1.37632,1.37635,1.37629,1.37632
2014-01-01 18:54:00+00:00,1.37632,1.37633,1.37632,1.37633
2014-01-01 18:55:00+00:00,1.37632,1.37632,1.37632,1.37632
2014-01-01 18:56:00+00:00,1.37631,1.37655,1.37631,1.37642
2014-01-01 18:57:00+00:00,1.37646,1.37687,1.37645,1.37655
2014-01-01 18:58:00+00:00,1.37655,1.37672,1.37648,1.37648
2014-01-01 18:59:00+00:00,1.37644,1.37692,1.37638,1.37652
2014-01-01 19:00:00+00:00,1.37644,1.37644,1.37632,1.37635
2014-01-01 19:01:00+00:00,1.37636,1.3766,1.37634,1.37652
2014-01-01 19:02:00+00:00,1.37658,1.37687,1.37652,1.37683
2014-01-01 19:03:00+00:00,1.37685,1.37685,1.37674,1.37683
2014-01-01 19:04:00+00:00,1.37685,1.37687,1.37671,1.37683
2014-01-01 19:05:00+00:00,1.37681,1.37681,1.37678,1.37678
2014-01-01 19:06:00+00:00,1.37669,1.37669,1.37618,1.37652
2014-01-01 19:07:00+00:00,1.37651,1.37653,1.37651,1.37652
2014-01-01 19:08:00+00:00,1.3765,1.37653,1.37643,1.3765
2014-01-01 19:09:00+00:00,1.3765,1.37656,1.3765,1.37655
2014-01-01 19:11:00+00:00,1.37654,1.37656,1.37654,1.37656
2014-01-01 19:12:00+00:00,1.37656,1.37656,1.37656,1.37656
2014-01-01 19:13:00+00:00,1.37659,1.37659,1.37659,1.37659
2014-01-01 19:14:00+00:00,1.37662,1.37662,1.37661,1.37661
2014-01-01 19:15:00+00:00,1.37658,1.37658,1.37621,1.37635
2014-01-01 19:16:00+00:00,1.37645,1.37647,1.3762,1.37638
2014-01-01 19:17:00+00:00,1.37639,1.37639,1.37635,1.37635
2014-01-01 19:18:00+00:00,1.37634,1.37635,1.37621,1.37624
2014-01-01 19:19:00+00:00,1.37625,1.37625,1.37618,1.37621
2014-01-01 19:20:00+00:00,1.37622,1.37628,1.37615,1.37627
2014-01-01 19:21:00+00:00,1.37623,1.37652,1.37609,1.37652
2014-01-01 19:22:00+00:00,1.37651,1.37651,1.37624,1.37626
2014-01-01 19:23:00+00:00,1.37625,1.37628,1.37624,1.37628
2014-01-01 19:24:00+00:00,1.37629,1.37632,1.37629,1.3763
2014-01-01 19:26:00+00:00,1.3763,1.3763,1.3763,1.3763
2014-01-01 19:27:00+00:00,1.3763,1.3763,1.37617,1.37617
2014-01-01 19:28:00+00:00,1.37618,1.37621,1.3761,1.37612
2014-01-01 19:29:00+00:00,1.37609,1.3761,1.37609,1.37609
2014-01-01 19:30:00+00:00,1.37607,1.37608,1.376,1.376
2014-01-01 19:31:00+00:00,1.37598,1.37598,1.37596,1.37596
2014-01-01 19:32:00+00:00,1.37598,1.37598,1.37598,1.37598
2014-01-01 19:33:00+00:00,1.37594,1.37594,1.37583,1.37584
2014-01-01 19:34:00+00:00,1.37583,1.3759,1.37578,1.3759
2014-01-01 19:35:00+00:00,1.37588,1.37592,1.37588,1.3759
